-58.915146,-2463.314419,56.960883
-59.718199,-2457.636898,56.085444
-60.024090,-2454.440357,55.751981
-60.273058,-2450.027261,55.480572
-60.378134,-2446.020341,55.366025
-60.302851,-2441.852269,55.448093
-60.138873,-2437.957177,55.626851
-59.661889,-2432.955055,56.146830
-59.354033,-2430.222161,56.482435
-57.946152,-2422.900597,58.017219
-57.939409,-2422.865938,58.024570
-57.923083,-2422.811788,58.042368
-55.564396,-2415.967606,60.197109
-52.947696,-2409.763732,62.587554
-52.753244,-2409.308625,62.765192
-52.581814,-2408.978901,62.921799
-48.627589,-2403.261180,65.940501
-48.170181,-2397.197788,66.289691
-48.871371,-2394.926787,65.754395
-50.587885,-2391.181832,64.443988
-52.581814,-2386.001125,62.921799
-52.873763,-2385.069634,62.655094
-53.039934,-2384.529533,62.503291
-54.455908,-2378.422311,61.209750
-54.922548,-2375.285715,60.783459
-55.226976,-2370.975393,60.505354
-55.263406,-2366.890935,60.472073
-54.867152,-2362.413592,60.834065
-54.447693,-2359.133074,61.217255
-52.710769,-2352.080664,62.803995
-52.663970,-2351.908292,62.846747
-52.581814,-2351.721209,62.921799
-49.470136,-2345.371638,65.297291
-46.836824,-2342.011954,67.307592
-44.739742,-2339.569926,68.633654
-40.727950,-2337.163070,71.170458
-37.872070,-2335.190453,72.644426
-34.417529,-2333.755559,74.427372
-30.314721,-2331.792925,76.113031
-27.848983,-2331.369099,77.126093
-22.629433,-2330.173039,78.759010
-21.071574,-2329.990201,79.246380
-20.105145,-2329.801611,79.459016
-14.136131,-2329.870361,80.772333
-8.007393,-2328.697893,81.573233
-7.094670,-2328.695698,81.692507
-5.964548,-2328.576139,81.741488
0.000000,-2328.761605,82.000000
6.067601,-2328.635745,81.737021
7.094670,-2328.756811,81.692507
7.893883,-2328.764043,81.588066
14.136131,-2329.977091,80.772333
19.787480,-2329.989566,79.528910
21.071574,-2330.288628,79.246380
23.570554,-2330.742862,78.464583
27.848983,-2332.091714,77.126093
29.320441,-2332.277976,76.520747
34.485870,-2334.373333,74.395731
36.830260,-2335.029167,73.181659
40.858609,-2337.523062,71.095528
42.897711,-2338.463144,69.800722
46.967785,-2342.143370,67.216271
47.509459,-2342.650512,66.801032
48.397303,-2343.876203,66.120424
50.819809,-2347.811220,64.263366
52.711148,-2352.412240,62.813493
53.215454,-2353.779674,62.350885
53.452034,-2354.686550,62.133867
54.588622,-2360.630464,61.091257
54.970069,-2363.731171,60.741350
55.149791,-2368.283266,60.576488
55.118740,-2372.020269,60.604972
54.558900,-2377.073962,61.118522
54.171321,-2379.704617,61.474054
52.711148,-2385.400991,62.813493
52.275211,-2386.884294,63.147676
51.801099,-2387.943537,63.511123
49.163194,-2393.508245,65.533303
47.002346,-2400.566681,67.189778
47.002201,-2400.615992,67.189889
49.947443,-2406.063513,64.932109
52.711148,-2409.872736,62.813493
53.435647,-2411.011684,62.148899
54.054253,-2412.468309,61.581442
55.861320,-2416.822912,59.923792
57.915353,-2422.805680,58.039595
57.959177,-2422.957925,57.999395
58.042368,-2423.342066,57.923083
59.261679,-2429.767003,56.588364
59.559487,-2431.997377,56.262368
60.052348,-2437.120821,55.722858
60.280471,-2440.639070,55.473144
60.359917,-2444.995978,55.386178
60.326199,-2448.873707,55.423088
60.067866,-2453.518216,55.705871
59.825980,-2456.779236,55.970652
58.987483,-2462.891186,56.888512
58.769114,-2464.349208,57.127550
58.042368,-2467.368970,57.923083
56.905977,-2471.491197,58.965512
55.709598,-2474.422263,60.062969
54.124204,-2478.163469,61.517275
52.711148,-2480.329639,62.813493
49.912708,-2484.167309,64.958736
46.967785,-2486.761748,67.216271
43.896027,-2489.407192,69.166803
40.858609,-2490.581438,71.095528
35.549753,-2493.290094,73.844786
34.485870,-2493.546775,74.395731
32.425003,-2494.192739,75.243555
27.848983,-2495.086145,77.126093
25.064534,-2495.788840,77.997197
21.071574,-2495.599776,79.246380
15.844817,-2496.463759,80.396384
14.136131,-2496.522363,80.772333
12.842643,-2496.720944,80.941365
7.094670,-2496.519562,81.692507
0.178910,-2497.578229,81.992246
0.000000,-2497.603738,82.000000
-0.181127,-2497.579511,81.992150
-7.094670,-2496.505941,81.692507
-12.614911,-2496.588230,80.971125
-14.136131,-2496.347962,80.772333
-16.164891,-2496.274379,80.325961
-21.071574,-2495.490881,79.246380
-24.757445,-2495.602906,78.093269
-27.848983,-2494.807445,77.126093
-34.392099,-2493.355325,74.437820
-34.417529,-2493.344259,74.427372
-34.500800,-2493.317063,74.384395
-40.727950,-2490.797190,71.170458
-42.049354,-2490.393904,70.334885
-46.836824,-2487.101877,67.307592
-47.378876,-2486.758422,66.893783
-49.124757,-2485.072225,65.560957
-51.558240,-2482.339022,63.703208
-52.581814,-2480.700980,62.921799
-54.619517,-2477.068453,61.060288
-56.330346,-2472.995295,59.497387
-56.991720,-2471.200004,58.893199
-57.923083,-2467.793964,58.042368
-58.667184,-2464.712308,57.231195
