Ending Spin,Theta,Collision Count,Min Adiabaticity
0.9854816594135636,23.96378354685902,7,0.298330003743839
0.9192859133428137,45.822723497150754,14,0.3184882059283679
0.9663052780027103,28.57396493771253,7,0.2974517854168512
0.9651663863741335,35.19421692457444,13,0.31539686093337727
0.9911206368843478,14.421090401335688,4,0.3087594261549748
0.992721611473353,16.98439104679906,4,0.2560097180533486
0.990138497782779,31.493199234186825,8,0.3521391703943621
0.9800440504726041,19.75089381089086,5,0.3119248667130217
0.9479339010266541,48.485156182063456,15,0.3245240353030368
0.9917324946421112,41.09884163866843,17,0.290244971602546
0.9826240488393702,34.92937773717667,19,0.3838070673621891
0.9736794453201132,34.87944774986716,11,0.3458629326517243
0.9903947744033721,29.720166650952383,9,0.24182968972845492
0.9961610246937036,29.205121486495862,11,0.31684386624194477
0.9987218905290511,24.209142999056986,12,0.33398466568838575
0.9960348047447771,44.780249733514694,15,0.427267095500213
0.964453330676753,41.53312490364865,12,0.40660103210582593
0.9680377495810675,38.82354403879831,11,0.3920707803388099
0.9951938054149753,47.392777104578265,22,0.4136414519586744
0.9297233420474857,50.90074021245049,17,0.40639586103230957
0.9979516668457111,46.98978014438319,30,0.36475248378911723
0.9937840369474591,45.04936701580065,13,0.47349713309462693
0.989511068851854,53.03925232417252,18,0.3485046641976298
0.994710142437894,19.273800013366348,7,0.2551320500951038
0.9851729704484157,49.909716194226895,29,0.32103366972967823
0.9683078078990008,13.0925373699096,4,0.26902206228417963
0.9976126048999819,18.314888909741367,4,0.3390367622624187
0.9899260398317857,14.872657751479322,4,0.34407786495888276
0.9884262553734197,12.423965300857787,3,0.2337388070709897
0.9909617522625411,37.59512804834132,11,0.3799836525274135
0.9153625078277584,37.0376524890989,11,0.37558358176286316
0.9899993863984201,17.943958464187084,8,0.2585823084911957
0.999649438746245,42.77713664524173,14,0.2893691389001952
0.9684365970833209,26.901692828816337,10,0.3905795372208192
0.9986474415712422,22.29801413623317,7,0.3055266118485335
0.9761035406843857,25.800982945135004,8,0.3209947487565386
0.9871516463842996,40.05017340955291,14,0.3632400781452447
0.9798078713762213,49.3064736316666,19,0.3695292768590274
0.8896801077739521,49.23280853185532,16,0.43058796873852884
0.9926952914220383,49.19159463479641,16,0.45042875412569183
0.9843399469177679,39.99829036189959,25,0.3231404090824403
0.992210612432387,43.12849990203371,15,0.3332385224355186
0.98602015798759,33.88173084408138,11,0.3477421389670086
0.985442177382397,25.355085784662098,11,0.3260513637786794
0.9947184433233375,43.97560861798094,15,0.3832272973456639
0.9955685627687094,17.964555120335856,7,0.2599374992833668
0.9990589576197904,30.612501619489557,9,0.27787475022718644
0.9394718320085292,36.511420380852236,10,0.35373083272827655
0.9922155285103821,10.089241186654288,3,0.21076499623922876
0.9872181393680352,39.15658451726297,15,0.4224473901581696
0.9959521904475847,45.08713747571063,16,0.4150471145874481
0.9788731151629064,39.82948247150626,15,0.32099789969526404
0.9946915648408035,29.236521960257452,8,0.2604770809653811
0.951467011257007,37.44188660205985,10,0.3121791704051603
0.9936930532533431,42.520843297231934,20,0.4133451101085911
0.9972901465386756,5.444727332178572,2,0.19772705307423807
0.9547867110374867,50.184308572993466,16,0.40983955105901104
0.9845215032618152,43.599913494140445,32,0.35957596077397636
0.9716996702738291,45.283528084102855,14,0.4740777638853899
0.9964828318061515,8.002206716009372,2,0.2660424977709988
0.9702274979816218,27.671249827104358,7,0.318103543922804
0.9894870656593371,34.38318846690929,29,0.2829203423134391
0.9955989261664444,12.949474612821076,4,0.28536017062486807
0.9858770503484795,44.52815929649808,14,0.2770311769696579
0.9943298460622292,20.60192672014726,8,0.24418700516925423
0.9811661182553236,43.52039669993214,23,0.417334332909119
0.9306688905910753,42.879030192384405,12,0.40562403189403423
0.9921228538480767,33.6624597403406,13,0.26932280984698714
0.802431187952345,47.50625052776197,15,0.3952446847128102
0.9810640422639256,24.12302042087967,6,0.30059561424480424
0.9088101117109996,51.889782924508985,17,0.4019989070231912
0.8900090545743924,45.40868927364853,14,0.3706531111817882
0.9589772873183787,52.325117606621696,21,0.4097803043647848
