# South Wall Test Measurement 1
# Number of axes: 3
# Additional notes:
#	device: Bartington Mag690-FL1000 serial 409
#	pos_unit: cm
#	scaling: 1000 mV/uT
#	power: Bartington SCU1
#	gain: 1x
#	input_mode: unbalanced
#	output_mode: unconditioned
#	mapping: {x:-x, y:-z, z:-y}
#	cyclotron: ON
#	degaussed: True
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),pos,orientation
1764635601.6369765,0.43579,-0.26708,0.06824,0.00877,0.02055,0.01229,up,
1764635610.4819138,0.43552,-0.31042,0.06867,0.00859,0.02346,0.01188,down,
1764635618.8889675,0.43548,-0.26739,0.06818,0.00823,0.02067,0.01153,up,
1764635627.1601562,0.43731,-0.3097,0.06815,0.0109,0.02331,0.01138,down,
1764635658.885612,0.436,-0.28049,0.03668,0.00912,0.01652,0.01959,0,up
1764635671.7516358,0.43604,-0.27677,0.0531,0.00918,0.01755,0.02116,5,up
1764635680.8040798,0.43604,-0.27102,0.06633,0.00915,0.01869,0.01793,10,up
1764635688.8758843,0.43701,-0.26579,0.06871,0.01052,0.0204,0.01122,15,up
1764635697.0759952,0.43634,-0.26322,0.06848,0.00961,0.02048,0.0084,20,up
1764635705.7479918,0.43524,-0.26837,0.07053,0.00778,0.02044,0.01079,25,up
1764635713.8229463,0.43592,-0.26519,0.07404,0.00897,0.02002,0.01386,30,up
1764635723.663427,0.43597,-0.26178,0.08127,0.00906,0.022,0.01654,35,up
1764635732.455515,0.43636,-0.26121,0.09116,0.00966,0.02144,0.01472,40,up
1764635742.5437589,0.43589,-0.26352,0.095,0.00893,0.02014,0.01263,45,up
1764635751.8449943,0.4353,-0.26469,0.10334,0.00789,0.02048,0.01978,50,up
1764635761.4066944,0.43466,-0.26425,0.14695,0.00658,0.02142,0.01667,55,up
1764635770.1572692,0.43503,-0.26669,0.24766,0.00739,0.02012,0.01876,60,up
1764635779.1971712,0.44354,-0.28286,0.40163,0.01617,0.01674,0.01399,65,up
1764635788.0285509,0.47204,-0.32906,0.47158,0.02485,0.02037,0.01192,70,up
1764635796.068179,0.49649,-0.3903,0.48891,0.01365,0.02076,0.0165,75,up
1764635804.6801476,0.51732,-0.48024,0.48794,0.01673,0.01654,0.01664,80,up
1764635814.3099103,0.5559,-0.57774,0.47933,0.02307,0.01658,0.0162,85,up
