time (epoch),Bx (uT),Bz (uT),By (uT),dBx (uT),dBz (uT),dBy (uT),pos (cm)
1764635658.885612,-0.0024999999999997247,0.8157499999999929,-3.163,0.9119999999999999,1.652,1.959,120
1764635671.7516358,0.0014999999999987246,1.187749999999993,-1.5209999999999995,0.918,1.755,2.116,115
1764635680.8040798,0.0014999999999987246,1.7627499999999963,-0.19799999999999957,0.915,1.8689999999999998,1.7930000000000001,110
1764635688.8758843,0.09850000000000136,2.285749999999992,0.03999999999999976,1.052,2.04,1.122,105
1764635697.0759952,0.03150000000000097,2.5427499999999936,0.017000000000000348,0.9610000000000001,2.048,0.84,100
1764635705.7479918,-0.07849999999999802,2.027749999999995,0.22199999999999998,0.7779999999999999,2.044,1.079,95
1764635713.8229463,-0.010500000000002174,2.3457499999999962,0.573,0.897,2.002,1.3860000000000001,90
1764635723.663427,-0.005499999999997174,2.6867499999999933,1.2959999999999998,0.906,2.1999999999999997,1.654,85
1764635732.455515,0.03350000000000297,2.743749999999995,2.285000000000001,0.966,2.144,1.472,80
1764635742.5437589,-0.013499999999999623,2.512749999999997,2.6690000000000005,0.893,2.0140000000000002,1.2630000000000001,75
1764635751.8449943,-0.07249999999999757,2.3957499999999965,3.5030000000000006,0.7889999999999999,2.048,1.978,70
1764635761.4066944,-0.1365000000000005,2.439749999999996,7.864,0.658,2.1420000000000003,1.667,65
1764635770.1572692,-0.09950000000000236,2.1957499999999963,17.935000000000002,0.739,2.012,1.876,60
1764635779.1971712,0.7514999999999994,0.5787499999999945,33.332,1.617,1.6740000000000002,1.399,55
1764635788.0285509,3.601500000000002,-4.041250000000007,40.327,2.485,2.037,1.192,50
1764635796.068179,6.046499999999999,-10.165250000000004,42.06,1.365,2.076,1.6500000000000001,45
1764635804.6801476,8.1295,-19.159250000000007,41.963,1.6729999999999998,1.654,1.664,40
1764635814.3099103,11.987499999999995,-28.909250000000007,41.102,2.307,1.6580000000000001,1.6199999999999999,35
