time (epoch),Bx (uT),Bz (uT),By (uT),dBx (uT),dBz (uT),dBy (uT),pos (cm)
1764633894.963193,-0.058750000000001856,0.0007499999999938112,-2.36275,0.849,1.678,2.013,120
1764633943.2160995,-0.02175000000000371,-0.04825000000000523,-1.0847500000000003,0.91,1.6840000000000002,2.1149999999999998,115
1764633960.5903976,-0.14975000000000405,0.028749999999994058,-0.06175000000000069,0.6689999999999999,1.6789999999999998,1.725,110
1764633977.530565,-0.07975000000000065,-0.040250000000002784,0.14324999999999893,0.808,1.6809999999999998,1.2229999999999999,105
1764633989.1041677,-0.11575000000000335,-0.004250000000005638,0.08824999999999944,0.726,1.6840000000000002,0.876,100
1764634002.6663704,-0.1307500000000017,0.0047499999999978115,0.26724999999999943,0.709,1.683,1.036,95
1764634014.90272,-0.08175000000000265,-0.05225000000000368,0.5232500000000001,0.8049999999999999,1.688,1.2850000000000001,90
1764634029.4404266,-0.08075000000000165,-0.07225000000000703,1.3962499999999989,0.807,1.694,1.6549999999999998,85
1764634041.8215058,-0.09475000000000455,-0.08325000000000693,2.1792499999999992,0.781,1.7000000000000002,1.5599999999999998,80
1764634056.349588,-0.1067499999999999,-0.2692500000000042,2.742249999999999,0.757,1.778,1.24,75
1764634071.173127,-0.1227500000000048,-0.5412500000000042,3.4032499999999994,0.726,2.009,2.007,70
1764634082.213797,-0.1547500000000035,-2.147250000000006,7.833249999999999,0.64,2.415,1.6549999999999998,65
1764634094.695103,-0.14875000000000305,-4.805250000000005,17.42525,0.672,1.7340000000000002,1.9900000000000002,60
1764634108.1172116,0.6822499999999954,-7.290250000000004,32.69625,1.553,1.802,1.5610000000000002,55
1764634121.9965796,4.013249999999996,-12.966250000000008,40.15725,2.263,1.6199999999999999,0.898,50
1764634133.342905,6.3712499999999945,-18.983250000000005,41.93925,1.5,1.354,1.6820000000000002,45
1764634146.346484,8.400249999999993,-25.363250000000008,41.82325,1.6709999999999998,1.484,1.6729999999999998,40
1764634158.142875,12.252249999999993,-30.68825,41.052249999999994,2.314,2.223,1.5789999999999997,35
1764634170.658085,14.676249999999996,-35.07225,39.90324999999999,1.696,0.422,0.6859999999999999,30
1764634186.0743935,16.628249999999994,-40.28725,38.518249999999995,2.528,1.6480000000000001,1.9140000000000001,25
