time (epoch),Bx (uT),By (uT),Bz (uT),dBx (uT),dBy (uT),dBz (uT),pos (cm)
1761345249.3652112,-0.04389999999999894,0.038999999999997925,-1.5582999999999996,0.8250000000000001,0.9850000000000001,0.419,120
1761345256.9822376,-0.09390000000000231,0.030999999999997696,-1.4682999999999997,0.836,0.9810000000000001,0.511,119
1761345265.89456,-0.06289999999999907,0.013999999999998458,-1.3392999999999997,0.831,0.978,0.6379999999999999,118
1761345276.0184476,-0.013900000000002244,0.09299999999999864,-0.9782999999999995,0.8200000000000001,0.99,0.8119999999999999,117
1761345284.7301283,-0.14089999999999936,0.05599999999999827,-0.6952999999999998,0.846,0.986,0.8300000000000001,116
1761345292.3123477,-0.06790000000000074,-0.00500000000000167,-0.4492999999999997,0.8340000000000001,0.974,0.766,115
1761345298.8504057,-0.029900000000000482,0.09399999999999853,-0.24329999999999963,0.8240000000000001,0.993,0.639,114
1761345308.2222788,-0.06990000000000052,0.033999999999998476,-0.18029999999999935,0.8350000000000001,0.982,0.5820000000000001,113
1761345316.584994,-0.0818999999999992,-0.031000000000002137,-0.14929999999999943,0.8350000000000001,0.969,0.5539999999999999,112
1761345324.581754,-0.15589999999999993,0.07599999999999829,-0.1092999999999994,0.849,0.989,0.5569999999999999,111
1761345331.4610116,-0.10390000000000121,0.036999999999998145,-0.0872999999999996,0.8400000000000001,0.9850000000000001,0.579,110
1761345509.2127907,-0.10190000000000143,0.13699999999999823,-0.0032999999999994145,0.841,0.998,0.6779999999999999,109
1761345516.7950013,-0.1269000000000009,0.049999999999997824,0.1377000000000006,0.8450000000000001,0.989,0.805,108
1761345523.8663132,-0.08389999999999898,0.0639999999999985,0.3017000000000003,0.833,0.99,0.903,107
1761345531.6992946,-0.15890000000000182,0.1499999999999979,0.3857000000000005,0.8500000000000001,1.0,0.938,106
1761345539.6500218,-0.1069000000000031,0.11599999999999833,0.6497000000000003,0.841,0.994,0.9950000000000001,105
1761345547.2434146,-0.13090000000000046,0.09599999999999831,0.7387000000000005,0.8440000000000001,0.992,0.997,104
1761345555.6186645,-0.19690000000000207,0.13499999999999845,0.9807000000000005,0.8540000000000001,0.997,0.963,103
1761345562.7198222,-0.16189999999999927,0.14899999999999802,1.2647000000000004,0.849,0.998,0.832,102
1761345571.3701253,-0.16389999999999905,0.18899999999999806,1.3537000000000003,0.849,1.001,0.7679999999999999,101
1761345578.018546,-0.0959000000000021,0.07199999999999873,1.5117000000000003,0.837,0.9909999999999999,0.624,100
1761345591.8366494,-0.16890000000000072,0.014999999999998348,1.6237000000000008,0.853,0.982,0.532,99
1761345600.133738,-0.1819000000000015,0.036999999999998145,1.6237000000000008,0.853,0.982,0.53,98
1761345608.792184,-0.14289999999999914,-0.047000000000001485,1.7097000000000007,0.847,0.962,0.519,97
1761345616.6518023,-0.10790000000000077,0.010999999999997678,1.7657,0.839,0.98,0.54,96
1761345623.502497,-0.12490000000000112,0.029999999999997806,1.888700000000001,0.8440000000000001,0.98,0.608,95
1761345630.752334,-0.09790000000000187,-0.050000000000002265,2.0337000000000005,0.837,0.963,0.698,94
1761345642.6862276,-0.19090000000000273,0.12399999999999856,1.9727000000000006,0.856,0.997,0.661,93
1761345650.663237,-0.12189999999999923,0.09399999999999853,1.9107000000000007,0.841,0.9909999999999999,0.619,92
