# South Wall Test Measurement 1
# Number of axes: 3
# Additional notes:
#	device: Bartington Mag690-FL1000 serial 409
#	pos_unit: cm
#	scaling: 1000 mV/uT
#	power: Bartington SCU1
#	gain: 1x
#	input_mode: unbalanced
#	output_mode: unconditioned
#	mapping: {x:-x, y:-z, z:-y}
#	cyclotron: ON
#	degaussed: True
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),pos,orientation
1764634690.867096,0.44206,-0.17734,0.06786,0.01499,0.0176,0.01271,up,
1764634699.7494197,0.43368,-0.40311,0.06798,0.00376,0.01291,0.01231,down,
1764634708.484405,0.44704,-0.17698,0.06841,0.0176,0.01745,0.01229,up,
1764634717.833753,0.43132,-0.40477,0.06855,0.0099,0.01358,0.01348,down,
1764634742.208581,0.43556,-0.26555,0.03739,0.00835,0.02046,0.01989,0,up
1764634753.5268269,0.43772,-0.21943,0.05347,0.01137,0.01797,0.02087,5,up
1764634764.8282027,0.43885,-0.19649,0.06808,0.01252,0.02248,0.01544,10,up
1764634774.987492,0.43936,-0.17127,0.06806,0.01304,0.01466,0.01071,15,up
1764634784.30953,0.43933,-0.16421,0.0701,0.01301,0.01342,0.01037,20,up
1764634795.0661206,0.4375,-0.16722,0.07122,0.01112,0.01368,0.01158,25,up
1764634804.0604205,0.4364,-0.15937,0.07454,0.00971,0.01511,0.01419,30,up
1764634813.0362267,0.43719,-0.15081,0.08098,0.01076,0.01692,0.0165,35,up
1764634821.7659955,0.43648,-0.14884,0.09161,0.00979,0.0167,0.01447,40,up
1764634831.7556758,0.43649,-0.14582,0.09505,0.00993,0.0164,0.01236,45,up
1764634841.047611,0.43438,-0.13386,0.10473,0.0059,0.02042,0.01985,50,up
1764634850.2936857,0.4335,-0.10048,0.14537,0.0033,0.00697,0.01647,55,up
1764634858.8014607,0.43294,-0.06006,0.24024,0.00445,0.02143,0.01904,60,up
1764634866.7675316,0.43362,-0.02494,0.39393,0.00367,0.01567,0.01594,65,up
1764634876.5983074,0.43982,-0.01291,0.47067,0.01338,0.01625,0.01102,70,up
1764634884.2487595,0.45945,-0.07425,0.4885,0.02344,0.01422,0.01679,75,up
1764634892.219459,0.51079,-0.31829,0.48745,0.01745,0.02093,0.01668,80,up
1764634900.2011595,0.54847,-0.52693,0.48112,0.02185,0.02009,0.01656,85,up
