# South Wall Test Measurement 1
# Number of axes: 3
# Additional notes:
#	device: Bartington Mag13-MSL100 serial 835
#	pos_unit: cm
#	scaling: 100 mV/uT
#	power: Bartington SCU1
#	gain: 1x
#	input_mode: balanced
#	output_mode: unconditioned
#	mapping: {x:-x, y:-z, z:-y}
#	cyclotron: ON
#	degaussed: True
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),pos,orientation
1761345880.8657055,2.4942,-0.7718,1.4305,0.0842,0.0921,0.0959,58,up
1761345887.7495773,2.4823,-0.7112,1.5675,0.0837,0.0777,0.0903,59,up
1761345893.8393238,2.415,-0.6291,1.6946,0.0908,0.0944,0.0949,60,up
1761345901.779956,2.3896,-0.5665,1.9434,0.0887,0.0938,0.0817,61,up
1761345909.1044047,2.3713,-0.5801,2.206,0.0828,0.097,0.0735,62,up
1761345916.3264782,2.3441,-0.4878,2.4797,0.074,0.079,0.0666,63,up
1761345923.210585,2.307,-0.353,2.7109,0.0776,0.0593,0.0993,64,up
1761345929.740449,2.3569,-0.1235,2.9584,0.0788,0.0765,0.0727,65,up
1761345999.4038515,2.5743,-0.3867,3.3218,0.0877,0.0859,0.0658,66,up
1761346007.791979,2.5158,-0.3412,3.6019,0.0866,0.0621,0.0813,67,up
1761346013.998801,2.5227,-0.2091,3.8352,0.0891,0.0816,0.0475,68,up
1761346020.2523804,2.5202,-0.1057,3.9785,0.0865,0.0822,0.0655,69,up
1761346029.4434223,2.4989,-0.011,4.1548,0.0842,0.0611,0.0471,70,up
1761346035.1858594,2.4778,0.0719,4.2735,0.0841,0.1012,0.0801,71,up
1761346041.969808,2.4513,0.192,4.3252,0.086,0.0768,0.0721,72,up
1761346049.0203147,2.4332,0.2972,4.4488,0.0891,0.0747,0.0846,73,up
1761346056.261755,2.4319,0.4392,4.5012,0.0894,0.0939,0.0464,74,up
1761346063.4669428,2.4098,0.5077,4.5155,0.0909,0.0629,0.0542,75,up
1761346075.6764164,2.3755,0.6341,4.5506,0.0849,0.0777,0.0771,76,up
1761346082.2011635,2.3501,0.7366,4.5836,0.0765,0.1029,0.0834,77,up
1761346089.4172566,2.3793,0.887,4.5943,0.0862,0.0847,0.0826,78,up
1761346094.853858,2.3839,0.9812,4.6044,0.0876,0.0832,0.0806,79,up
1761346102.3596718,2.3671,1.1135,4.6042,0.0822,0.0903,0.0807,80,up
1761346108.6305342,2.3558,1.1739,4.6017,0.0788,0.0513,0.0813,81,up
1761346114.560405,2.332,1.2959,4.6032,0.0724,0.0713,0.0809,82,up
1761346120.758031,2.2972,1.4139,4.5846,0.0782,0.0987,0.0834,83,up
1761346126.969211,2.2467,1.5642,4.5741,0.0845,0.0862,0.0829,84,up
1761346132.7315018,2.2098,1.6683,4.5513,0.0733,0.0787,0.0774,85,up
1761346166.8417585,2.1109,1.8002,4.5329,0.0826,0.07,0.0678,86,up
1761346173.7372365,2.085,1.8965,4.5066,0.0895,0.0812,0.0481,87,up
1761346179.7994192,2.0828,2.0113,4.4988,0.0897,0.081,0.0457,88,up
1761346186.643553,2.0574,2.1876,4.4854,0.0872,0.0721,0.0545,89,up
1761346192.7570157,2.013,2.3056,4.4571,0.0563,0.0622,0.0791,90,up
1761346198.9672112,1.978,2.3494,4.4211,0.0572,0.084,0.0968,91,up
1761346205.8085055,1.9462,2.4812,4.3568,0.079,0.0598,0.0923,92,up
1761346216.0075984,1.9037,2.6081,4.3209,0.0858,0.0817,0.0693,93,up
1761346224.4204192,2.0031,2.6886,4.3064,0.0424,0.0888,0.0656,94,up
1761346231.061294,2.0944,2.9074,4.2807,0.088,0.0872,0.0777,95,up
1761346239.9599476,2.1155,3.0129,4.2313,0.0804,0.0816,0.0813,96,up
1761346246.921602,2.0961,3.1515,4.1852,0.0875,0.0634,0.0542,97,up
1761346254.091756,2.063,3.2978,4.1633,0.0884,0.0684,0.0387,98,up
1761346260.8419251,2.0897,3.3706,4.1397,0.0888,0.0949,0.0642,99,up
1761346267.7828882,2.1632,3.5023,4.0847,0.0292,0.0398,0.0963,100,up
1761346274.5887356,2.1786,3.6243,4.0225,0.0442,0.0742,0.0903,101,up
1761346281.0988932,2.1716,3.7669,3.9769,0.0322,0.0917,0.0658,102,up
1761346287.4000554,2.1778,3.8773,3.9531,0.0431,0.0754,0.0752,103,up
1761346294.3696077,2.1641,4.0181,3.9178,0.0275,0.096,0.0834,104,up
1761346302.6906345,2.1729,4.1649,3.8544,0.0353,0.0336,0.0605,105,up
1761346309.8116355,2.1612,4.2562,3.823,0.0324,0.0834,0.0513,106,up
1761346317.120381,2.1627,4.3885,3.7661,0.0295,0.1001,0.0927,107,up
1761346323.6198127,2.1569,4.4954,3.6726,0.0403,0.0536,0.0815,108,up
1761346329.4150815,2.1392,4.6184,3.6378,0.0633,0.0888,0.0652,109,up
1761346335.1136155,2.1385,4.7506,3.5963,0.064,0.0961,0.0823,110,up
1761346341.1544037,2.153,4.8297,3.5306,0.0464,0.0415,0.0654,111,up
1761346347.2611952,2.1664,4.9467,3.4985,0.0262,0.0813,0.0399,112,up
1761346353.0908492,2.1667,5.0926,3.4237,0.0269,0.0915,0.0959,113,up
1761346359.3516586,2.1646,5.1635,3.3244,0.0279,0.0429,0.0682,114,up
1761346366.382848,2.1594,5.2792,3.2978,0.0357,0.0808,0.0686,115,up
1761346373.2123356,2.154,5.3927,3.2343,0.045,0.1022,0.0826,116,up
1761346379.5030522,1.9957,5.5013,3.1643,0.0356,0.0352,0.0529,117,up
1761346386.1020348,1.8281,5.5927,3.082,0.0584,0.0829,0.0997,118,up
1761346391.8223062,1.8108,5.6875,3.0039,0.0635,0.0949,0.0791,119,up
1761346398.639041,1.9551,5.8247,2.9679,0.0746,0.0471,0.0668,120,up
